year,period,periodName,latest,value,footnotes,series_id,date
2025,M04,April,true,4.0,[{}],LNS14027660,2025-04-01
2025,M03,March,,4.1,[{}],LNS14027660,2025-03-01
2025,M02,February,,4.2,[{}],LNS14027660,2025-02-01
2025,M01,January,,4.5,[{}],LNS14027660,2025-01-01
2024,M12,December,,4.3,[{}],LNS14027660,2024-12-01
2024,M11,November,,4.6,[{}],LNS14027660,2024-11-01
2024,M10,October,,4.0,[{}],LNS14027660,2024-10-01
2024,M09,September,,4.0,[{}],LNS14027660,2024-09-01
2024,M08,August,,4.0,[{}],LNS14027660,2024-08-01
2024,M07,July,,4.6,[{}],LNS14027660,2024-07-01
2024,M06,June,,4.2,[{}],LNS14027660,2024-06-01
2024,M05,May,,4.3,[{}],LNS14027660,2024-05-01
2024,M04,April,,4.0,[{}],LNS14027660,2024-04-01
2024,M03,March,,4.1,[{}],LNS14027660,2024-03-01
2024,M02,February,,4.2,[{}],LNS14027660,2024-02-01
2024,M01,January,,4.3,[{}],LNS14027660,2024-01-01
2023,M12,December,,4.2,[{}],LNS14027660,2023-12-01
2023,M11,November,,4.1,[{}],LNS14027660,2023-11-01
2023,M10,October,,4.1,[{}],LNS14027660,2023-10-01
2023,M09,September,,4.2,[{}],LNS14027660,2023-09-01
2023,M08,August,,3.9,[{}],LNS14027660,2023-08-01
2023,M07,July,,3.3,[{}],LNS14027660,2023-07-01
2023,M06,June,,3.9,[{}],LNS14027660,2023-06-01
2023,M05,May,,3.9,[{}],LNS14027660,2023-05-01
2023,M04,April,,4.0,[{}],LNS14027660,2023-04-01
2023,M03,March,,4.0,[{}],LNS14027660,2023-03-01
2023,M02,February,,3.6,[{}],LNS14027660,2023-02-01
2023,M01,January,,3.7,[{}],LNS14027660,2023-01-01
2025,M04,April,true,3.7,[{}],LNS14027689,2025-04-01
2025,M03,March,,3.5,[{}],LNS14027689,2025-03-01
2025,M02,February,,3.5,[{}],LNS14027689,2025-02-01
2025,M01,January,,3.5,[{}],LNS14027689,2025-01-01
2024,M12,December,,3.5,[{}],LNS14027689,2024-12-01
2024,M11,November,,3.6,[{}],LNS14027689,2024-11-01
2024,M10,October,,3.4,[{}],LNS14027689,2024-10-01
2024,M09,September,,3.4,[{}],LNS14027689,2024-09-01
2024,M08,August,,3.5,[{}],LNS14027689,2024-08-01
2024,M07,July,,3.5,[{}],LNS14027689,2024-07-01
2024,M06,June,,3.4,[{}],LNS14027689,2024-06-01
2024,M05,May,,3.1,[{}],LNS14027689,2024-05-01
2024,M04,April,,3.3,[{}],LNS14027689,2024-04-01
2024,M03,March,,3.4,[{}],LNS14027689,2024-03-01
2024,M02,February,,3.2,[{}],LNS14027689,2024-02-01
2024,M01,January,,3.3,[{}],LNS14027689,2024-01-01
2023,M12,December,,3.1,[{}],LNS14027689,2023-12-01
2023,M11,November,,2.8,[{}],LNS14027689,2023-11-01
2023,M10,October,,3.1,[{}],LNS14027689,2023-10-01
2023,M09,September,,3.0,[{}],LNS14027689,2023-09-01
2023,M08,August,,3.1,[{}],LNS14027689,2023-08-01
2023,M07,July,,3.1,[{}],LNS14027689,2023-07-01
2023,M06,June,,3.1,[{}],LNS14027689,2023-06-01
2023,M05,May,,3.2,[{}],LNS14027689,2023-05-01
2023,M04,April,,2.8,[{}],LNS14027689,2023-04-01
2023,M03,March,,3.0,[{}],LNS14027689,2023-03-01
2023,M02,February,,3.3,[{}],LNS14027689,2023-02-01
2023,M01,January,,2.9,[{}],LNS14027689,2023-01-01
